protein,freq,study
RTTN,1,panet_jhu_2011
SZT2,1,panet_jhu_2011
KATNAL2,1,panet_jhu_2011
TFCP2L1,1,panet_jhu_2011
MYC,1,panet_jhu_2011
AFMID,1,panet_jhu_2011
TRAPPC12,1,panet_jhu_2011
NF1,1,panet_jhu_2011
MAMDC2,1,panet_jhu_2011
LPA,1,panet_jhu_2011
ADAMTS8,1,panet_jhu_2011
KANK1,1,panet_jhu_2011
CRTAC1,1,panet_jhu_2011
HS6ST1,1,panet_jhu_2011
FGF12,1,panet_jhu_2011
GABRQ,1,panet_jhu_2011
ZNF543,1,panet_jhu_2011
ZZEF1,1,panet_jhu_2011
PDE8A,1,panet_jhu_2011
FUT10,1,panet_jhu_2011
BRAF,241,hca_tcga_pub
NRAS,34,hca_tcga_pub
MUC16,21,hca_tcga_pub
TTN,17,hca_tcga_pub
TG,15,hca_tcga_pub
HRAS,14,hca_tcga_pub
DNAH9,10,hca_tcga_pub
OTUD4,10,hca_tcga_pub
ZFHX3,9,hca_tcga_pub
MUC17,8,hca_tcga_pub
CSMD2,8,hca_tcga_pub
EPPK1,7,hca_tcga_pub
KMT2C,7,hca_tcga_pub
PKHD1,7,hca_tcga_pub
KMT2A,7,hca_tcga_pub
MUC5B,7,hca_tcga_pub
OBSCN,6,hca_tcga_pub
MDN1,6,hca_tcga_pub
EIF1AX,6,hca_tcga_pub
GPR98,6,hca_tcga_pub
EVPL,6,hca_tcga_pub
LRP1,6,hca_tcga_pub
RYR1,6,hca_tcga_pub
SPTA1,6,hca_tcga_pub
JMJD1C,5,hca_tcga_pub
CHEK2,5,hca_tcga_pub
CDH8,5,hca_tcga_pub
CACNA1E,5,hca_tcga_pub
KIF4B,5,hca_tcga_pub
APOB,5,hca_tcga_pub
C5orf42,5,hca_tcga_pub
COL5A1,5,hca_tcga_pub
SLC12A4,5,hca_tcga_pub
CSMD3,5,hca_tcga_pub
DNAH8,5,hca_tcga_pub
MYO15A,5,hca_tcga_pub
PTPRD,5,hca_tcga_pub
PRKDC,5,hca_tcga_pub
PPM1D,5,hca_tcga_pub
DLC1,5,hca_tcga_pub
SYNE2,5,hca_tcga_pub
BDP1,5,hca_tcga_pub
COL5A3,5,hca_tcga_pub
ARID1B,5,hca_tcga_pub
SHROOM3,5,hca_tcga_pub
CACNA1G,5,hca_tcga_pub
NRXN1,5,hca_tcga_pub
ATM,5,hca_tcga_pub
DNAH1,5,hca_tcga_pub
ITPR2,5,hca_tcga_pub
